branch,counterparty,credit_account,credit_account_2,credit_amount,credit_amount_2,currency,date,debit_account,debit_amount,description,id,type
Florence,Republic of Florence,Cash,,82833.66,,florin,1390-01-01,Loans Receivable - Government,82833.66,Emergency war financing for Florence defense,1,war_financing
Florence,Republic of Florence,Cash,,124432.65,,florin,1390-01-01,Loans Receivable - Government,124432.65,Loan to Venice for Lombardy Wars operations,2,war_financing
Bruges,Gold Merchant,Cash,,42534.83,,florin,1390-01-01,Loans Receivable,42534.83,Loan issued to Gold Merchant from Bruges branch,3,loan_issuance
Florence,Republic of Florence,Cash,,1617678.46,,florin,1390-01-01,Loans Receivable - Government,1617678.46,War financing for Florentine operations against Milan,4,war_financing
Florence,Republic of Florence,Cash,,27742.84,,florin,1390-01-01,Loans Receivable - Government,27742.84,Loan to Venice for Lombardy Wars operations,5,war_financing
Geneva,Armor Smith,Loans Receivable,Interest Income,11123.18,1112.32,florin,1390-01-01,Cash,12235.5,Loan repayment from Armor Smith with interest,6,loan_repayment
Venice,Wool Merchant,Trading Revenue,,51419.4,,florin,1390-01-02,Cash,51419.4,Alum sale from papal mines,7,alum_trade
Rome,Grain Merchant,Cash,,9465.11,,florin,1390-01-02,Deposits Payable,9465.11,Withdrawal by Grain Merchant,8,withdrawal
Rome,Apostolic Chamber,Deposits Payable,,118255.19,,florin,1390-01-02,Cash,118255.19,Deposit from Apostolic Chamber to Rome branch,9,deposit
Florence,Banking House,Trading Revenue,,4849.04,,florin,1390-01-02,Cash,4849.04,Alum sale from papal mines,10,alum_trade
Rome,Transfer to Geneva,Cash,Exchange Fee Revenue,14749.91,242.88,florin,1390-01-03,Due from Geneva,14992.79,Bill of exchange from Rome to Geneva,11,bill_of_exchange
Bruges,Count of Urbino,Cash,,10469.49,,florin,1390-01-04,Deposits Payable,10469.49,Withdrawal by Count of Urbino,12,withdrawal
Bruges,Archbishop,Cash,,9809.45,,florin,1390-01-04,Deposits Payable,9809.45,Withdrawal by Archbishop,13,withdrawal
London,Transfer to Milan,Cash,Exchange Fee Revenue,5885.45,84.17,florin,1390-01-04,Due from Milan,5969.62,Bill of exchange from London to Milan,14,bill_of_exchange
Florence,Republic of Florence,Cash,,305277.71,,florin,1390-01-04,Loans Receivable - Government,305277.71,Emergency war financing for Florence defense,15,war_financing
Venice,Textile Merchant,Trading Revenue,,8830.81,,florin,1390-01-04,Cash,8830.81,Alum sale from papal mines,16,alum_trade
Florence,Jewel Trader,Trading Revenue,,45575.6,,florin,1390-01-04,Cash,45575.6,Alum sale from papal mines,17,alum_trade
Rome,Holy See,Deposits Payable,,122154.6,,florin,1390-01-05,Cash,122154.6,Deposit from Holy See to Rome branch,18,deposit
Geneva,Spice Merchant,Cash,,43236.39,,florin,1390-01-05,Deposits Payable,43236.39,Withdrawal by Spice Merchant,19,withdrawal
Bruges,Bruges Operations,Cash,,2786.11,,florin,1390-01-05,Wages,2786.11,Wages expense for Bruges branch,20,operating_expense
Florence,Republic of Florence,Cash,,1437131.19,,florin,1390-01-06,Loans Receivable - Government,1437131.19,Loan to Venice for Lombardy Wars operations,21,war_financing
London,Count of Urbino,Loans Receivable,Interest Income,29118.72,3203.06,florin,1390-01-06,Cash,32321.78,Loan repayment from Count of Urbino with interest,22,loan_repayment
Rome,Armor Smith,Cash,,2312.92,,florin,1390-01-06,Loans Receivable,2312.92,Loan issued to Armor Smith from Rome branch,23,loan_issuance
Rome,Holy See,Deposits Payable,,42124.04,,florin,1390-01-06,Cash,42124.04,Deposit from Holy See to Rome branch,24,deposit
Florence,Republic of Florence,Cash,,104353.19,,florin,1390-01-06,Loans Receivable - Government,104353.19,Emergency war financing for Florence defense,25,war_financing
Rome,Papal Court,Deposits Payable,,17370.87,,florin,1390-01-07,Cash,17370.87,Deposit from Papal Court to Rome branch,26,deposit
Avignon,Wine Trader,Deposits Payable,,4101.34,,florin,1390-01-07,Cash,4101.34,Deposit by Wine Trader,27,deposit
Florence,Republic of Florence,Cash,,21493.36,,florin,1390-01-07,Loans Receivable - Government,21493.36,Loan to Venice for Lombardy Wars operations,28,war_financing
Bruges,Bruges Operations,Cash,,4638.48,,florin,1390-01-08,Security,4638.48,Security expense for Bruges branch,29,operating_expense
Rome,Apostolic Chamber,Deposits Payable,,56375.7,,florin,1390-01-08,Cash,56375.7,Deposit from Apostolic Chamber to Rome branch,30,deposit
London,London Operations,Cash,,2618.86,,florin,1390-01-08,Rent,2618.86,Rent expense for London branch,31,operating_expense
Florence,Republic of Florence,Cash,,162923.35,,florin,1390-01-09,Loans Receivable - Government,162923.35,War financing for Florentine operations against Milan,32,war_financing
Rome,Papal Court,Deposits Payable,,228976.5,,florin,1390-01-09,Cash,228976.5,Deposit from Papal Court to Rome branch,33,deposit
Avignon,Doge of Venice,Cash,,51199.6,,florin,1390-01-09,Loans Receivable,51199.6,Loan issued to Doge of Venice from Avignon branch,34,loan_issuance
Bruges,Grain Merchant,Cash,,21190.93,,florin,1390-01-09,Deposits Payable,21190.93,Withdrawal by Grain Merchant,35,withdrawal
Geneva,Transfer to Venice,Cash,Exchange Fee Revenue,90035.36,1501.2,florin,1390-01-09,Due from Venice,91536.56,Bill of exchange from Geneva to Venice,36,bill_of_exchange
Rome,Holy See,Deposits Payable,,30067.23,,florin,1390-01-10,Cash,30067.23,Deposit from Holy See to Rome branch,37,deposit
London,King of Naples,Cash,,52487.71,,florin,1390-01-10,Loans Receivable,52487.71,Loan issued to King of Naples from London branch,38,loan_issuance
Florence,Cardinal,Deposits Payable,,9619.39,,florin,1390-01-10,Cash,9619.39,Deposit by Cardinal,39,deposit
London,Silk Trader,Loans Receivable,Interest Income,204.38,42.92,florin,1390-01-11,Cash,247.3,Loan repayment from Silk Trader with interest,40,loan_repayment
Rome,Grain Merchant,Cash,,11677.79,,florin,1390-01-11,Loans Receivable,11677.79,Loan issued to Grain Merchant from Rome branch,41,loan_issuance
Avignon,Avignon Operations,Cash,,1162.14,,florin,1390-01-11,Supplies,1162.14,Supplies expense for Avignon branch,42,operating_expense
Venice,Count of Urbino,Cash,,1382.47,,florin,1390-01-11,Deposits Payable,1382.47,Withdrawal by Count of Urbino,43,withdrawal
Florence,Republic of Florence,Cash,,85457.16,,florin,1390-01-12,Loans Receivable - Government,85457.16,Emergency war financing for Florence defense,44,war_financing
London,London Operations,Cash,,1515.97,,florin,1390-01-13,Maintenance,1515.97,Maintenance expense for London branch,45,operating_expense
Rome,Holy See,Deposits Payable,,2287230.17,,florin,1390-01-13,Cash,2287230.17,Deposit from Holy See to Rome branch,46,deposit
Rome,Sacred College,Deposits Payable,,35481.15,,florin,1390-01-13,Cash,35481.15,Deposit from Sacred College to Rome branch,47,deposit
